voltage_v,experimental_current_a,model_total_a,model_pf_a,model_thermionic_a,polarization_uc_cm2
-8.25,1.892083e-10,-3.383348268257492e-11,-3.3262802975920823e-11,-5.706797066540979e-13,-15.804451537338801
-8.0,1.306524e-10,-3.063422301219105e-11,-3.01677236836201e-11,-4.664993285709553e-13,-15.804451537338801
-7.75,9.89885e-11,-2.771947837193992e-11,-2.7340872185582196e-11,-3.786061863577239e-13,-15.804451537338801
-7.5,7.36117e-11,-2.506544360000899e-11,-2.4760624231423967e-11,-3.048193685850223e-13,-15.804451537338801
-7.25,5.35863e-11,-2.2650185824042978e-11,-2.2406976240966827e-11,-2.432095830761514e-13,-15.804451537338801
-7.0,4.15831e-11,-2.045350628356961e-11,-2.0261432399713607e-11,-1.9207388385599885e-13,-15.804451537338801
-6.75,2.67706e-11,-1.8456811687258176e-11,-1.830689906855168e-11,-1.4991261870649477e-13,-15.804451537338801
-6.5,1.89724e-11,-1.6642994482699372e-11,-1.6527586066665244e-11,-1.1540841603412765e-13,-15.804451537338801
-6.25,1.26038e-11,-1.4996321446877966e-11,-1.4908914411426673e-11,-8.740703545129092e-14,-15.804451537338801
-6.0,9.4227e-12,-1.350233002557018e-11,-1.3437430122513958e-11,-6.489990305622092e-14,-15.804451537338801
-5.75,6.4708e-12,-1.2147731846032595e-11,-1.2100723719749328e-11,-4.700812628326816e-14,-15.804451537338801
-5.5,4.7689e-12,-1.0920322756501213e-11,-1.0887355065224297e-11,-3.2967691276915374e-14,-15.804451537338801
-5.25,3.3149e-12,-9.808898447319019e-12,-9.786783220229371e-12,-2.211522708964791e-14,-15.804451537338801
-5.0,2.3554e-12,-8.803173422649982e-12,-8.789301006397326e-12,-1.3872416252656654e-14,-15.804451537338801
-4.75,1.4452e-12,-7.893693562220525e-12,-7.885973978351876e-12,-7.719583868649686e-15,-15.804451537338801
-4.5,9.432925e-13,-7.071627699293404e-12,-7.068583532076129e-12,-3.0441672172747148e-15,-15.804451537338801
-4.25,5.996871e-13,-6.334524917817359e-12,-6.32957388922805e-12,-4.951028589309634e-15,-15.804451537338801
-4.0,3.903802e-13,-5.672160931000729e-12,-5.662002712777e-12,-1.0158218223729416e-14,-15.804451537338801
-3.75,1.372696e-13,-5.0766484009173304e-12,-5.059495123661675e-12,-1.715327725565557e-14,-15.804451537338801
-3.5,9.59233e-14,-4.542659968219895e-12,-4.5162009017151745e-12,-2.6459066504720455e-14,-15.804451537338801
-3.25,2.54115e-14,-4.065370196367395e-12,-4.026754666908651e-12,-3.861552945874321e-14,-15.804451537338801
-3.0,-3.112657e-13,-3.6404744528415616e-12,-3.5862388490671778e-12,-5.423560377438393e-14,-15.804451537338801
-2.75,-4.5601e-14,-3.264173719400912e-12,-3.1901492656477418e-12,-7.402445375317041e-14,-15.804451537338801
-2.5,7.33967e-14,-2.933157184545688e-12,-2.834363137972606e-12,-9.879404657308222e-14,-15.804451537338801
-2.25,4.88036e-14,-2.6445869023032715e-12,-2.5151093865134868e-12,-1.2947751578978459e-13,-15.804451537338801
-2.0,-1.015524e-13,-2.3960854831468974e-12,-2.228941055457705e-12,-1.6714442768919238e-13,-15.804451537338801
-1.75,-2.230171e-13,-2.1857271039506665e-12,-1.9727097258801673e-12,-2.1301737807049886e-13,-15.804451537338801
-1.5,3.04684e-14,-2.0120319485839784e-12,-1.7435417854296183e-12,-2.684901631543601e-13,-15.804451537338801
-1.25,-6.97053e-14,-1.8739641445724845e-12,-1.5388164305347996e-12,-3.3514771403768497e-13,-15.804451537338801
-1.0,-1.784002e-13,-1.7709332553420631e-12,-1.3561452847754962e-12,-4.1478797056656696e-13,-15.804451537338801
-0.75,-3.788501e-13,-1.702799396227135e-12,-1.193353524267088e-12,-5.094458719600467e-13,-15.804451537338801
-0.5,4.73721e-14,-1.669882057121316e-12,-1.0484624076986093e-12,-6.214196494227065e-13,-15.804451537338801
-0.25,-2.246412e-13,-1.6729727322332892e-12,-9.196731150655421e-13,-7.532996171677471e-13,-15.804451537338801
0.0,-2.45361e-13,3.703382724410323e-13,0.0,3.703382724410323e-13,-15.804451537338801
0.25,-2.741196e-13,1.551277012571191e-12,6.923042571002871e-13,8.589727554709038e-13,-15.760598645371548
0.5,-3.022379e-13,9.14709003344452e-13,5.163453480723043e-13,3.9836365527214773e-13,-15.359859638540817
0.75,-2.939467e-13,5.036689223433244e-13,3.543705239287261e-13,1.4929839841459823e-13,-14.777254776831557
1.0,-3.256465e-13,2.6090355097322546e-13,2.1831553258481434e-13,4.258801838841117e-14,-13.978935587089726
1.25,-2.92595e-13,1.3887753727758836e-13,1.2805239191348247e-13,1.0825145364105894e-14,-13.132102318225835
1.5,-3.842566e-13,7.341352393822117e-14,7.099522150422696e-14,2.418302433994197e-15,-12.240781432569243
1.75,-4.29687e-13,4.031212334269998e-14,3.9748678262947054e-14,5.634450797529229e-16,-11.453221856365861
2.0,-6.957439e-13,2.2368383781126422e-14,2.2234942214332224e-14,1.3344156679419862e-16,-10.745170550227385
2.25,-7.248421e-13,1.0176476498235109e-14,1.0156726016282258e-14,1.975048195285029e-17,-9.792781541331065
2.5,-5.852308e-13,4.3489678985438856e-15,4.346355231686225e-15,2.6126668576605956e-18,-8.890742252489058
2.75,-6.896741e-13,1.4548920752780487e-15,1.4546830362964363e-15,2.0903898161244781e-19,-7.860056671281509
3.0,-8.102244e-13,6.407343810665396e-16,6.407005508591238e-16,3.383020741576434e-20,-7.342156428060868
3.25,-9.473983e-13,1.277148761717066e-16,1.2771370880327716e-16,1.167368429457176e-21,-6.363365921865548
3.5,-1.0878e-12,1.0351331012212129e-17,1.0351317984891907e-17,1.3027320221899432e-23,-5.502512535182432
3.75,-1.2874e-12,1.583543008249513e-17,1.5835404284855635e-17,2.5797639493675178e-23,-4.481912624609102
4.0,-1.5745e-12,1.214544300676102e-16,1.214533734310607e-16,1.0566365495223312e-21,-3.7980304851931623
4.25,-1.9015e-12,6.528759747324263e-16,6.52840730836054e-16,3.524389637235773e-20,-2.7668633553717985
4.5,-2.8518e-12,1.904015405534878e-15,1.9036302209675924e-15,3.8518456728560697e-19,-1.950965668129058
4.75,-4.2229e-12,5.243642499056931e-15,5.239582055991588e-15,4.06044306534227e-18,-0.9740425699305575
5.0,-5.9038e-12,1.0978652475416971e-14,1.0954941886681674e-14,2.371058873529647e-17,-0.2147469395255412
5.25,-1.24506e-11,2.2683267759508975e-14,2.254519312849746e-14,1.3807463101151295e-16,0.6421145811444104
5.5,-2.90187e-11,4.1385721837726397e-14,4.078488584338796e-14,6.008359943384418e-16,1.3746911065235095
5.75,-5.5206e-11,8.634084372363064e-14,8.277461491074727e-14,3.5662288128833645e-15,2.429220549569295
6.0,-1.029157e-10,1.5097464685058443e-13,1.3789327010052656e-13,1.3081376750057858e-14,3.1670727621197288
6.25,-1.608126e-10,2.938305567150231e-13,2.3965266193133223e-13,5.417789478369086e-14,4.068726629897664
6.5,-2.316351e-10,5.906051797587873e-13,3.9395242295054264e-13,1.9665275680824458e-13,4.909648224180935
6.75,-3.75288e-10,1.169206433176524e-12,5.941095657169792e-13,5.750968674595447e-13,5.590785565684131
7.0,-6.157396e-10,3.677150575165172e-12,1.0572910045213038e-12,2.619859570643868e-12,6.762306853581124
7.25,-8.639535e-10,9.616293959722718e-12,1.6118894409011797e-12,8.004404518821538e-12,7.578903263335745
