sweep_name,voltage_v,experimental_current_a,model_total_a,model_pf_a,model_thermionic_a,model_background_a,polarization_uc_cm2
1st2KB_B64-T51,-8.75,2.98526925401887e-10,-2.5902239130037037e-11,-2.431532430504811e-11,-3.537283623681994e-24,-1.5869148249853902e-12,-15.472554314266944
1st2KB_B64-T51,-8.5,2.49925496964565e-10,-2.5548244886616592e-11,-2.400710448139255e-11,-2.838718467032187e-24,-1.5411404052212015e-12,-15.472554314266944
1st2KB_B64-T51,-8.25,1.89208260170659e-10,-2.5194250643611993e-11,-2.3698884658152718e-11,-2.262879821752452e-24,-1.4953659854570113e-12,-15.472554314266944
1st2KB_B64-T51,-8.0,1.30652433316669e-10,-2.4840256400811258e-11,-2.339066483511665e-11,-1.7906200750812543e-24,-1.4495915656928216e-12,-15.472554314266944
1st2KB_B64-T51,-7.75,9.89884771374072e-11,-2.448626215810823e-11,-2.3082445012178194e-11,-1.4054484149705046e-24,-1.403817145928632e-12,-15.472554314266944
1st2KB_B64-T51,-7.5,7.3611679252128e-11,-2.4132267915450886e-11,-2.277422518928535e-11,-1.0932017218934983e-24,-1.3580427261644414e-12,-15.472554314266944
1st2KB_B64-T51,-7.25,5.35862534900566e-11,-2.377827367281434e-11,-2.2466005366413245e-11,-8.417520448455024e-25,-1.3122683064002519e-12,-15.472554314266944
1st2KB_B64-T51,-7.0,4.15831188926852e-11,-2.3424279430186974e-11,-2.2157785543550273e-11,-6.40746988152255e-25,-1.2664938866360628e-12,-15.472554314266944
1st2KB_B64-T51,-6.75,2.67706221773745e-11,-2.307028518756354e-11,-2.1849565720691185e-11,-4.813796692209754e-25,-1.2207194668718733e-12,-15.472554314266944
1st2KB_B64-T51,-6.5,1.89723532023622e-11,-2.2716290944941716e-11,-2.1541345897833674e-11,-3.56185211774582e-25,-1.1749450471076831e-12,-15.472554314266944
1st2KB_B64-T51,-6.25,1.26037678557789e-11,-2.236229670232055e-11,-2.1233126074976803e-11,-2.5886101502397873e-25,-1.1291706273434936e-12,-15.472554314266944
1st2KB_B64-T51,-6.0,9.42270046710991e-12,-2.2008302459699634e-11,-2.0924906252120142e-11,-1.8410828481227252e-25,-1.0833962075793041e-12,-15.472554314266944
1st2KB_B64-T51,-5.75,6.47078918225574e-12,-2.1654308217078827e-11,-2.0616686429263584e-11,-1.2749251929250529e-25,-1.0376217878151144e-12,-15.472554314266944
1st2KB_B64-T51,-5.5,4.76890315431744e-12,-2.130031397445805e-11,-2.0308466606407036e-11,-8.532077828117664e-26,-9.918473680509247e-13,-15.472554314266944
1st2KB_B64-T51,-5.25,3.31491865207534e-12,-2.094631973183729e-11,-2.0000246783550498e-11,-5.453351698311668e-26,-9.460729482867352e-13,-15.472554314266944
1st2KB_B64-T51,-5.0,2.35540731884087e-12,-2.0592325489216542e-11,-1.9692026960693966e-11,-3.260802057883389e-26,-9.002985285225457e-13,-15.472554314266944
1st2KB_B64-T51,-4.75,1.44523986961992e-12,-2.0238331246595803e-11,-1.9383807137837428e-11,-1.746595751741296e-26,-8.545241087583552e-13,-15.472554314266944
1st2KB_B64-T51,-4.5,9.43292536095819e-13,-1.988433700397507e-11,-1.90755873149809e-11,-7.335199148308844e-27,-8.08749688994166e-13,-15.472554314266944
1st2KB_B64-T51,-4.25,5.99687075171496e-13,-1.953034276135434e-11,-1.876736749212436e-11,-4.830504287547746e-27,-7.62975269229976e-13,-15.472554314266944
1st2KB_B64-T51,-4.0,3.90380165259802e-13,-1.9176348518733622e-11,-1.8459147669267823e-11,-1.376217389749793e-26,-7.172008494657858e-13,-15.472554314266944
1st2KB_B64-T51,-3.75,1.37269563120837e-13,-1.8822354276112912e-11,-1.8150927846411287e-11,-2.7115825793220743e-26,-6.714264297015967e-13,-15.472554314266944
1st2KB_B64-T51,-3.5,9.5923309985195e-14,-1.846836003349221e-11,-1.7842708023554756e-11,-4.666403587507792e-26,-6.256520099374071e-13,-15.472554314266944
