sweep_name,voltage_v,experimental_current_a,model_total_a,model_pf_a,model_thermionic_a,model_background_a,polarization_uc_cm2
1st2KB_B64-T51,-5.0,9.87505216487605e-13,-5.294930797668641e-12,-1.1483820726706479e-12,-2.008628711656234e-45,-4.146548724997992e-12,-0.4531687480737568
1st2KB_B64-T51,-5.25,1.32566917512844e-12,-5.489662395654213e-12,-1.1439949118332057e-12,-1.635810095925394e-45,-4.345667483821007e-12,-1.339979123843348
1st2KB_B64-T51,-5.5,1.54214466717428e-12,-5.982950189290706e-12,-1.4360952642798071e-12,-1.4515298541265303e-45,-4.546854925010899e-12,-1.935140005201073
1st2KB_B64-T51,-5.75,2.28889585236758e-12,-6.017520833691592e-12,-1.2725966987737766e-12,-1.1318413646138174e-45,-4.744924134917816e-12,-2.969919163244977
1st2KB_B64-T51,-6.0,1.9781023607307e-12,-6.3452913503929595e-12,-1.4003570640458027e-12,-9.56524676944194e-46,-4.944934286347157e-12,-3.731058142032557
1st2KB_B64-T51,-6.25,2.36019060198545e-12,-6.769625721776368e-12,-1.6242034719792243e-12,-8.245131325816384e-46,-5.145422249797144e-12,-4.424833645171537
1st2KB_B64-T51,-6.5,3.05637307997098e-12,-6.701938583552834e-12,-1.3589677748390832e-12,-6.293342305214061e-46,-5.34297080871375e-12,-5.533015854607376
1st2KB_B64-T51,-6.75,3.67990273669738e-12,-7.1473217176165035e-12,-1.6037083833240563e-12,-5.4602036555564524e-46,-5.543613334292447e-12,-6.2050006916607705
1st2KB_B64-T51,-7.0,4.41931083741687e-12,-7.51828856274215e-12,-1.7746067677871238e-12,-4.6262172039486116e-46,-5.743681794955026e-12,-6.9579190471835375
1st2KB_B64-T51,-7.25,8.95244035153953e-12,-7.678627920431073e-12,-1.7359924921116973e-12,-3.7434418854028956e-46,-5.942635428319376e-12,-7.8680093412739165
1st2KB_B64-T51,-7.5,1.09580833990153e-11,-7.639473568168972e-12,-1.4990101573128174e-12,-2.891799004996188e-46,-6.140463410856155e-12,-8.936797509915767
1st2KB_B64-T51,-7.75,9.60346385747712e-12,-8.028041514503782e-12,-1.6873574505447836e-12,-2.4662594082410185e-46,-6.3406840639589975e-12,-9.668259285652661
1st2KB_B64-T51,-8.0,1.34826455555626e-11,-8.489220962168443e-12,-1.9480812807416475e-12,-2.1239043951057623e-46,-6.541139681426796e-12,-10.366595029407831
1st2KB_B64-T51,-8.25,1.91266273652513e-11,-8.338946251042199e-12,-1.6004342175134012e-12,-1.6109305322905298e-46,-6.738512033528798e-12,-11.499619442370864
1st2KB_B64-T51,-8.5,3.62615978910519e-11,-8.830367522031473e-12,-1.891191438682976e-12,-1.3996179384752363e-46,-6.939176083348496e-12,-12.168569722691366
1st2KB_B64-T51,-8.75,8.20692888647834e-11,-8.877908785186501e-12,-1.7403336060295143e-12,-1.10785247939623e-46,-7.137575179156987e-12,-13.156840505187551
1st2KB_B64-T51,-9.0,1.37386643728199e-10,-9.03331249875295e-12,-1.6968136123330977e-12,-8.962199763640893e-47,-7.336498886419852e-12,-14.071149877329342
1st2KB_B64-T51,-9.25,2.77503853229888e-10,-9.464157111556049e-12,-1.9273503966369705e-12,-7.6760954757003825e-47,-7.536806714919077e-12,-14.790321385266157
1st2KB_B64-T51,-9.5,6.29410579211509e-10,-9.988885590799759e-12,-2.2515090404574973e-12,-6.646117914942809e-47,-7.73737655034226e-12,-15.472554314266944
1st2KB_B64-T51,-9.25,5.32822119758691e-10,-8.657411283736022e-12,-1.1254436762296833e-12,-6.289842909832963e-47,-7.53196760750634e-12,-15.472554314266944
1st2KB_B64-T51,-9.0,4.35702390833015e-10,-7.878436097940784e-12,-5.518774332703598e-13,-5.944219809322302e-47,-7.326558664670424e-12,-15.472554314266944
