sweep_name,voltage_v,experimental_current_a,model_total_a,model_pf_a,model_thermionic_a,model_background_a,polarization_uc_cm2
1st2KB_B64-T51,-3.75,3.19186517494519e-13,-3.1868489879958896e-12,-6.059264793089578e-14,-4.861388888063946e-44,-3.1262563400649937e-12,0.4718873060077289
1st2KB_B64-T51,-4.0,4.73744632932538e-13,-3.4637275482804596e-12,-1.3204972380337593e-13,-6.121526408106929e-44,-3.331677824477084e-12,0.4718873060077289
1st2KB_B64-T51,-4.25,5.273172848895e-13,-3.817853080965408e-12,-2.807537720762345e-13,-7.656157747984652e-44,-3.5370993088891732e-12,0.4718873060077289
1st2KB_B64-T51,-4.5,5.80207973679969e-13,-4.326128069012154e-12,-5.836072757108915e-13,-9.516119907953925e-44,-3.742520793301262e-12,0.4718873060077289
1st2KB_B64-T51,-4.75,7.69852606143095e-13,-4.7431806883271515e-12,-7.987551170636398e-13,-9.316420530192981e-44,-3.9444255712635115e-12,-0.023879011661073108
1st2KB_B64-T51,-5.0,9.87505216487605e-13,-5.2951017812704484e-12,-1.1482998820144926e-12,-9.399596428172827e-44,-4.146801899255956e-12,-0.4531687480737568
1st2KB_B64-T51,-5.25,1.32566917512844e-12,-5.489845850767538e-12,-1.1439130351697854e-12,-7.648547291565824e-44,-4.3459328155977525e-12,-1.339979123843348
1st2KB_B64-T51,-5.5,1.54214466717428e-12,-5.9831250223654e-12,-1.4359924817522132e-12,-7.133001378838422e-44,-4.5471325406131864e-12,-1.935140005201073
1st2KB_B64-T51,-5.75,2.28889585236758e-12,-6.017719461930917e-12,-1.272505617973943e-12,-5.416881549916572e-44,-4.745213843956974e-12,-2.969919163244977
1st2KB_B64-T51,-6.0,1.9781023607307e-12,-6.345493046661327e-12,-1.4002568393308063e-12,-4.674639790274289e-44,-4.945236207330521e-12,-3.731058142032557
1st2KB_B64-T51,-6.25,2.36019060198545e-12,-6.769823638289694e-12,-1.6240872263913937e-12,-4.1623747461170533e-44,-5.145736411898301e-12,-4.424833645171537
1st2KB_B64-T51,-6.5,3.05637307997098e-12,-6.702167544852387e-12,-1.3588705123897987e-12,-3.0555049250408544e-44,-5.343297032462589e-12,-5.533015854607376
1st2KB_B64-T51,-6.75,3.67990273669738e-12,-7.147545413182817e-12,-1.603593604586697e-12,-2.7488148958548267e-44,-5.543951808596121e-12,-6.2050006916607705
1st2KB_B64-T51,-7.0,4.41931083741687e-12,-7.518512242473906e-12,-1.7744797577108383e-12,-2.3811563769384914e-44,-5.744032484763068e-12,-6.9579190471835375
1st2KB_B64-T51,-7.25,8.95244035153953e-12,-7.678866511255299e-12,-1.7358682456911e-12,-1.9175275952799058e-44,-5.9429982655641995e-12,-7.8680093412739165
1st2KB_B64-T51,-7.5,1.09580833990153e-11,-7.639741198723539e-12,-1.4989028719142157e-12,-1.434460705743498e-44,-6.140838326809323e-12,-8.936797509915767
