voltage_v,experimental_current_a,model_total_a,model_pf_a,model_thermionic_a,model_background_a,polarization_uc_cm2
-8.5,2.499255e-10,-3.109251632055209e-11,-2.7361723930596603e-11,-2.219518888507776e-39,-3.7307923899554875e-12,-15.804451537338801
-8.25,1.892083e-10,-2.8423759751558484e-11,-2.4803815801467712e-11,-1.965442972276508e-39,-3.6199439500907725e-12,-15.804451537338801
-8.0,1.306524e-10,-2.5980875611597048e-11,-2.2471780101370988e-11,-1.733423195160599e-39,-3.50909551022606e-12,-15.804451537338801
-7.75,9.89885e-11,-2.374484314703109e-11,-2.034659607666974e-11,-1.5219598086284584e-39,-3.398247070361347e-12,-15.804451537338801
-7.5,7.36117e-11,-2.169818733364986e-11,-1.8410788703153226e-11,-1.3296333091852067e-39,-3.2873986304966345e-12,-15.804451537338801
-7.25,5.35863e-11,-1.9824856526434235e-11,-1.664830633580231e-11,-1.1551002593032317e-39,-3.1765501906319222e-12,-15.804451537338801
-7.0,4.15831e-11,-1.811010955533581e-11,-1.5044407804568598e-11,-9.970890102981853e-40,-3.0657017507672084e-12,-15.804451537338801
-6.75,2.67706e-11,-1.6540411561125484e-11,-1.3585558250222985e-11,-8.54395172650281e-40,-2.954853310902497e-12,-15.804451537338801
-6.5,1.89724e-11,-1.5103337915848722e-11,-1.225933304481094e-11,-7.258765602395195e-40,-2.8440048710377826e-12,-15.804451537338801
-6.25,1.26038e-11,-1.3787485619560685e-11,-1.1054329188387615e-11,-6.104470951108963e-40,-2.73315643117307e-12,-15.804451537338801
-6.0,9.4227e-12,-1.2582391609087895e-11,-9.960083617779538e-12,-5.070686417816847e-40,-2.6223079913083565e-12,-15.804451537338801
-5.75,6.4708e-12,-1.1478457456007719e-11,-8.966997904564077e-12,-4.147385232591212e-40,-2.511459551443643e-12,-15.804451537338801
-5.5,4.7689e-12,-1.0466879970699746e-11,-8.066268859120816e-12,-3.3246727675445305e-40,-2.400611111578932e-12,-15.804451537338801
-5.25,3.3149e-12,-9.539587269761359e-12,-7.24982459804714e-12,-2.5923147818379025e-40,-2.2897626717142185e-12,-15.804451537338801
-5.0,2.3554e-12,-8.689179915610613e-12,-6.510265683761107e-12,-1.9384971157400204e-40,-2.1789142318495063e-12,-15.804451537338801
-4.75,1.4452e-12,-7.908876859828595e-12,-5.840811067843803e-12,-1.3453161677716588e-40,-2.068065791984792e-12,-15.804451537338801
-4.5,9.432925e-13,-7.192466821894227e-12,-5.235249469774148e-12,-7.533091466864235e-41,-1.9572173521200798e-12,-15.804451537338801
-4.25,5.996871e-13,-6.5343345285604805e-12,-4.687965616305114e-12,-1.0200229835703447e-40,-1.8463689122553655e-12,-15.804451537338801
-4.0,3.903802e-13,-5.929328143330863e-12,-4.193807670940209e-12,-1.5963370464803095e-40,-1.735520472390653e-12,-15.804451537338801
-3.75,1.372696e-13,-5.3728046460081065e-12,-3.7481326134821655e-12,-2.212692795070144e-40,-1.624672032525941e-12,-15.804451537338801
-3.5,9.59233e-14,-4.860572117952418e-12,-3.34674852529119e-12,-2.8988418876680276e-40,-1.5138235926612277e-12,-15.804451537338801
-3.25,2.54115e-14,-4.38883962936744e-12,-2.9858644765709243e-12,-3.668987537718953e-40,-1.4029751527965153e-12,-15.804451537338801
-3.0,-3.112657e-13,-3.95419762664584e-12,-2.662070913714039e-12,-4.534008349139244e-40,-1.2921267129318014e-12,-15.804451537338801
-2.75,-4.5601e-14,-3.5536019705107467e-12,-2.3723236974436575e-12,-5.503904885683599e-40,-1.1812782730670893e-12,-15.804451537338801
-2.5,7.33967e-14,-3.1843613131119516e-12,-2.1139314799095763e-12,-6.58859121901802e-40,-1.070429833202375e-12,-15.804451537338801
-2.25,4.88036e-14,-2.8441278144157542e-12,-1.8845464210780916e-12,-7.798227864620755e-40,-9.595813933376622e-13,-15.804451537338801
-2.0,-1.015524e-13,-2.5308912673388114e-12,-1.6821583138658618e-12,-9.143391597676127e-40,-8.487329534729495e-13,-15.804451537338801
