voltage_v,experimental_current_a,model_total_a,model_pf_a,model_thermionic_a,polarization_uc_cm2
-6.75,2.67706e-11,-1.4673043210527168e-12,-8.597986869484728e-14,-1.3813244523578696e-12,-15.804451537338801
-6.5,1.89724e-11,-1.1224566667913209e-12,-5.906074687918691e-14,-1.0633959199121338e-12,-15.804451537338801
-6.25,1.26038e-11,-8.447166769031585e-13,-3.933100344384662e-14,-8.053856734593118e-13,-15.804451537338801
-6.0,9.4227e-12,-6.231944145275001e-13,-2.5193900489856324e-14,-5.980005140376437e-13,-15.804451537338801
-5.75,6.4708e-12,-4.4848641714845226e-13,-1.53442650409354e-14,-4.3314215210751685e-13,-15.804451537338801
-5.5,4.7689e-12,-3.124953270288246e-13,-8.724513794304487e-15,-3.0377081323452007e-13,-15.804451537338801
-5.25,3.3149e-12,-2.0826034640370194e-13,-4.4862798043679765e-15,-2.0377406659933397e-13,-15.804451537338801
-5.0,2.3554e-12,-1.2978030595656864e-13,-1.9571250367680314e-15,-1.278231809198006e-13,-15.804451537338801
-4.75,1.4452e-12,-7.174194249973436e-14,-6.121733595519118e-16,-7.112976914018244e-14,-15.804451537338801
-4.5,9.432925e-13,-2.8102898453293013e-14,-5.334098061309714e-17,-2.8049557472679912e-14,-15.804451537338801
-4.25,5.996871e-13,-4.5400638609237056e-14,2.191158433610736e-16,-4.561975445259813e-14,-15.804451537338801
-4.0,3.903802e-13,-9.252269439005018e-14,1.077132935338294e-15,-9.359982732538847e-14,-15.804451537338801
-3.75,1.372696e-13,-1.551751112288768e-13,2.8785704141655817e-15,-1.5805368164304238e-13,-15.804451537338801
-3.5,9.59233e-14,-2.377242281295866e-13,6.0748320488604066e-15,-2.43799060178447e-13,-15.804451537338801
-3.25,2.54115e-14,-3.4455960250524777e-13,1.1251506274993522e-14,-3.558111087802413e-13,-15.804451537338801
-3.0,-3.112657e-13,-4.805841677952732e-13,1.9153388178082747e-14,-4.997375559733558e-13,-15.804451537338801
-2.75,-4.5601e-14,-6.51360917624262e-13,3.071500716417111e-14,-6.820759247884331e-13,-15.804451537338801
