sweep_name,segment_label,voltage_v,experimental_current_a,model_total_a,model_thermionic_weighted_a,model_pf_fe_weighted_a,model_pf_il_weighted_a,model_background_weighted_a,base_thermionic_a,base_pf_fe_a,base_pf_il_a,base_background_a,current_floor_a,weight_thermionic,weight_pf_fe,weight_pf_il,weight_background,top_effective_barrier_ev,bottom_effective_barrier_ev,pf_fe_activation_ev,pf_il_activation_ev
1st2KB_B64-T51,0→-V,-2.5,2.24742614926207e-13,3.038322941503248e-13,3.525837221997431e-23,4.1739726432113744e-15,3.956244368499078e-22,2.29690762074644e-13,9.321201886444074e-28,1.0102060602345451e-17,2.5326424145844856e-19,9.459338423384397e-17,37825.993524773825,413.18032107650197,0.0015621014422393907,2428.1905540753914,6.996755900158662e-14,0.39738763681442846,1.0780645172250543,0.48117128571292267,0.4448800642786355
1st2KB_B64-T51,0→-V,-2.75,2.35509121969749e-13,3.2967043257733044e-13,1.6534873644994975e-22,7.0430344133783035e-15,7.149084021135708e-22,2.5265983828210837e-13,4.371299232144582e-27,1.704590962858141e-17,4.576581153965874e-19,1.0405272265722836e-16,37825.993524773825,413.18032107650197,0.0015621014422393907,2428.1905540753914,6.996755900158662e-14,0.37689288454522624,1.0381140314565287,0.4701102318257795,0.4320476776745969
1st2KB_B64-T51,0→-V,-3.0,2.52749535710473e-13,3.5716012128961405e-13,7.238786279086558e-22,1.156364582138321e-14,1.253192836856133e-21,2.756289144895727e-13,1.913706846680861e-26,2.7986922976523256e-17,8.022480505872821e-19,1.1351206108061275e-16,37825.993524773825,413.18032107650197,0.0015621014422393907,2428.1905540753914,6.996755900158662e-14,0.3573103954785323,0.99994182324951,0.4595415279953563,0.4197864867574082
1st2KB_B64-T51,0→-V,-3.25,3.9838588699638e-13,3.8710715588899784e-13,2.983479519720621e-21,1.8541601067253637e-14,2.139640897334261e-21,2.9859799069703717e-13,7.887379131936391e-26,4.487532469829459e-17,1.3697195582041866e-18,1.2297139950399715e-16,37825.993524773825,413.18032107650197,0.0015621014422393907,2428.1905540753914,6.996755900158662e-14,0.33852821440761555,0.963329657963516,0.44940475179944783,0.40802639297324256
1st2KB_B64-T51,0→-V,-3.5,3.88523197988877e-13,4.2065449536246077e-13,1.1655886905062111e-20,2.911985423085577e-14,3.569629890615163e-21,3.215670669045016e-13,3.081448976992021e-25,7.047735031278055e-17,2.285146018108676e-18,1.3243073792738155e-16,37825.993524773825,413.18032107650197,0.0015621014422393907,2428.1905540753914,6.996755900158662e-14,0.32045556848124174,0.9281005917909928,0.43965091297040887,0.3967105606841334
1st2KB_B64-T51,0→-V,-3.75,3.19186517494519e-13,4.594046368811697e-13,4.340925508678377e-20,4.4900885523808174e-14,5.834553861949112e-21,3.44536143111966e-13,1.147603831168459e-24,1.0867140382393623e-16,3.735067201259886e-18,1.4189007635076595e-16,37825.993524773825,413.18032107650197,0.0015621014422393907,2428.1905540753914,6.996755900158662e-14,0.30301764785490326,0.8941087976641575,0.4302396365034325,0.3857921491752528
1st2KB_B64-T51,0→-V,-4.0,4.73744632932538e-13,5.055809492479272e-13,1.5483938559969583e-19,6.81080067240106e-14,9.363514060215547e-21,3.675052193194304e-13,4.0934651326021365e-24,1.648384573267228e-16,5.994177975274283e-18,1.5134941477415035e-16,37825.993524773825,413.18032107650197,0.0015621014422393907,2428.1905540753914,6.996755900158662e-14,0.28615193191714805,0.8612324039563006,0.42113717991443067,0.37523201239368265
1st2KB_B64-T51,0→-V,-4.25,5.273172848895e-13,5.622389804163702e-13,5.310977356391131e-19,1.0179658000901716e-13,1.4781136037321763e-20,3.904742955268948e-13,1.4040549530874185e-23,2.463732535562097e-16,9.462340689047623e-18,1.6080875319753475e-16,37825.993524773825,413.18032107650197,0.0015621014422393907,2428.1905540753914,6.996755900158662e-14,0.2698055359917946,0.8293683223999766,0.41231500125054826,0.3649970376381189
1st2KB_B64-T51,0→-V,-4.5,5.80207973679969e-13,6.335416003308113e-13,1.7576879870522653e-18,1.5012888891976467e-13,2.2987113815039282e-20,4.134433717343592e-13,4.6467728227708866e-23,3.633495625556855e-16,1.4715506428369666e-17,1.7026809162091915e-16,37825.993524773825,413.18032107650197,0.0015621014422393907,2428.1905540753914,6.996755900158662e-14,0.25393325206924156,0.798428428878315,0.40374870166940047,0.3550589188012624
1st2KB_B64-T51,0→-V,-4.75,7.69852606143095e-13,7.251154639833168e-13,5.62938276221426e-18,2.1872979239230422e-13,3.526484016743776e-20,4.364124479418236e-13,1.4882313027752574e-22,5.293809536292159e-16,2.2575256135019593e-17,1.7972743004430355e-16,37825.993524773825,413.18032107650197,0.0015621014422393907,2428.1905540753914,6.996755900158662e-14,0.23849607379635307,0.7683366881831135,0.3954172293735169,0.3453932328212054
1st2KB_B64-T51,0→-V,-5.0,9.87505216487605e-13,8.445110708244866e-13,1.7492128943123525e-17,3.1514444211592555e-13,5.342874330026146e-20,4.59381524149288e-13,4.624367349840315e-22,7.627285861409051e-16,3.420312014030748e-17,1.8918676846768795e-16,37825.993524773825,413.18032107650197,0.0015621014422393907,2428.1905540753914,6.996755900158662e-14,0.2234600670060548,0.7390269523345891,0.38730227003317585,0.3359787324857218
1st2KB_B64-T51,0→-V,-5.25,1.32566917512844e-12,1.00179549510447e-12,5.285199056002976e-17,4.4942440373272535e-13,8.002284559137426e-20,4.823506003567523e-13,1.3972399832780276e-21,1.0877197698133175e-15,5.12276881817966e-17,1.9864610689107232e-16,37825.993524773825,413.18032107650197,0.0015621014422393907,2428.1905540753914,6.996755900158662e-14,0.2087954917182856,0.7104412490950398,0.3793877729287717,0.3267967966904076
1st2KB_B64-T51,0→-V,-5.5,1.54214466717428e-12,1.2103176181569744e-12,1.555879690694147e-16,6.348746760353489e-13,1.1858675280918583e-19,5.053196765642167e-13,4.113255319189796e-21,1.5365559385336732e-15,7.591488593671787e-17,2.0810544531445672e-16,37825.993524773825,413.18032107650197,0.0015621014422393907,2428.1905540753914,6.996755900158662e-14,0.1944761103894722,0.6825284335373469,0.3716595776118384,0.31783099731267556
1st2KB_B64-T51,0→-V,-5.75,2.28889585236758e-12,1.4877050940406115e-12,4.470429257382764e-16,8.890015653316312e-13,1.740099743225427e-19,5.282887527716811e-13,1.181840538955016e-20,2.151606744037137e-15,1.113947978135698e-16,2.1756478373784112e-16,37825.993524773825,413.18032107650197,0.0015621014422393907,2428.1905540753914,6.996755900158662e-14,0.18047863628442096,0.655243112754549,0.3641051161903884,0.30906675382064974
1st2KB_B64-T51,0→-V,-6.0,1.9781023607307e-12,1.8571916701703976e-12,1.2556294515812606e-15,1.2347103997366685e-12,2.5300141551067473e-19,5.512578289791454e-13,3.3194883586042397e-20,2.9883088248727532e-15,1.6196221875832726e-16,2.270241221612255e-16,37825.993524773825,413.18032107650197,0.0015621014422393907,2428.1905540753914,6.996755900158662e-14,0.16678228876633094,0.6285447789852514,0.3567131733181494,0.30049105482674154
1st2KB_B64-T51,0→-V,-6.25,2.36019060198545e-12,2.3494602061008594e-12,3.4524158644444484e-15,1.7018129613398389e-12,3.647083796851498e-19,5.742269051866098e-13,9.12709896749524e-20,4.11881417030203e-15,2.334729165618801e-16,2.364834605846099e-16,37825.993524773825,413.18032107650197,0.0015621014422393907,2428.1905540753914,6.996755900158662e-14,0.15336843121733568,0.6023971038109848,0.3494736907796433,0.2920922313787083
1st2KB_B64-T51,0→-V,-6.5,3.05637307997098e-12,3.0053859930416473e-12,9.304303710726609e-15,2.3289176274064146e-12,5.215288450672866e-19,5.971959813940743e-13,2.4597645279648324e-19,5.636564736042224e-15,3.338636217630242e-16,2.459427990079943e-16,37825.993524773825,413.18032107650197,0.0015621014422393907,2428.1905540753914,6.996755900158662e-14,0.1402202735648932,0.5767673582899533,0.3423776069431549,0.28385977070239493
1st2KB_B64-T51,0→-V,-6.75,3.67990273669738e-12,3.8805303309261275e-12,2.4606012514527944e-14,3.16579096163587e-12,7.401726041836596e-19,6.201650576015387e-13,6.505053858905897e-19,7.662008087383502e-15,4.738313301360033e-16,2.554021374313787e-16,37825.993524773825,413.18032107650197,0.0015621014422393907,2428.1905540753914,6.996755900158662e-14,0.12732262585959975,0.5516259326054829,0.3354167237662444,0.2757841619093222
1st2KB_B64-T51,0→-V,-7.0,4.41931083741687e-12,5.053322606732177e-12,6.392149892117763e-14,4.276298371958778e-12,1.043041632418194e-18,6.431341338090032e-13,1.6898828811809735e-18,1.0349714528555691e-14,6.677169639654866e-16,2.648614758547631e-16,37825.993524773825,413.18032107650197,0.0015621014422393907,2428.1905540753914,6.996755900158662e-14,0.11466169258784842,0.5269459351190315,0.3285835957859267,0.26785676720959734
1st2KB_B64-T51,0→-V,-7.25,8.95244035153953e-12,6.641398650215362e-12,1.6327239583697342e-13,5.7420540253418575e-12,1.4600184771249404e-18,6.661032100164676e-13,4.316407333228128e-18,1.3897210811931901e-14,9.346502331064322e-16,2.743208142781475e-16,37825.993524773825,413.18032107650197,0.0015621014422393907,2428.1905540753914,6.996755900158662e-14,0.10222489977964833,0.502702855350913,0.32187143680845737,0.2600697136588708
1st2KB_B64-T51,0→-V,-7.5,1.09580833990153e-11,8.836386475588545e-12,4.104074466773069e-13,7.666937152911353e-12,2.0307743655400417e-18,6.89072286223932e-13,1.0849878838172854e-17,1.8555910729087674e-14,1.300027200940787e-15,2.837801527015319e-16,37825.993524773825,413.18032107650197,0.0015621014422393907,2428.1905540753914,6.996755900158662e-14,0.09000074873849517,0.4788742788554672,0.31527404096708594,0.252415801574168
1st2KB_B64-T51,0→-V,-7.75,9.60346385747712e-12,1.1980689864692566e-11,1.0160141619838908e-12,1.0182663973538557e-11,2.8077371350223706e-18,7.120413624313964e-13,2.6860210857871073e-17,2.4644600563280934e-14,1.7974102443675277e-15,2.932394911249163e-16,37825.993524773825,413.18032107650197,0.0015621014422393907,2428.1905540753914,6.996755900158662e-14,0.07797869154816706,0.45543964454606223,0.3087857155328546,0.2448884265849139
1st2KB_B64-T51,0→-V,-8.0,1.34826455555626e-11,1.673966781721878e-11,2.479043335183767e-12,1.345564262450034e-11,3.859894224620625e-18,7.350104386388608e-13,6.553808913333996e-17,3.256602974082344e-14,2.4709625893995555e-15,3.026988295483007e-16,37825.993524773825,413.18032107650197,0.0015621014422393907,2428.1905540753914,6.996755900158662e-14,0.06614902452018956,0.4323800369918984,0.30240122340800724,0.23748151291715647
1st2KB_B64-T51,0→-V,-8.25,1.91266273652513e-11,2.4489036334542975e-11,5.965700204678148e-12,1.7695383778367597e-11,5.277649322582247e-18,7.579795148463252e-13,1.57714303016812e-16,4.282726663328002e-14,3.3785573586158e-15,3.121581679716851e-16,37825.993524773825,413.18032107650197,0.0015621014422393907,2428.1905540753914,6.996755900158662e-14,0.05450279651969925,0.40967800771732343,0.2961157336492968,0.23018945599360685
1st2KB_B64-T51,0→-V,-8.5,3.62615978910519e-11,3.818352758220557e-11,1.4167810968783853e-11,2.3164793284361703e-11,7.179004639234448e-18,7.809485910537896e-13,3.7455224961916096e-16,5.606460933088014e-14,4.59573523531404e-15,3.216175063950695e-16,37825.993524773825,413.18032107650197,0.0015621014422393907,2428.1905540753914,6.996755900158662e-14,0.04303172970663438,0.3873174207023826,0.28992477869186617,0.22300707280729198
1st2KB_B64-T51,0→-V,-8.75,8.20692888647834e-11,6.429120275444225e-11,3.322457117162069e-11,3.0192736639152395e-11,9.717406337031173e-18,8.03917667261254e-13,8.783529016854649e-16,7.307399481293807e-14,6.220726819828381e-15,3.310768448184539e-16,37825.993524773825,413.18032107650197,0.0015621014422393907,2428.1905540753914,6.996755900158662e-14,0.03172815069704393,0.3652833181953399,0.28382421719688566,0.215929558819561
