sweep_name,voltage_v,experimental_current_a,model_total_a,model_pf_a,model_thermionic_a,model_background_a,polarization_uc_cm2
1st2KB_B64-T51,-5.5,1.54214466717428e-12,-5.341929271242721e-12,-2.0505526215938324e-24,-1.8290822090301145e-23,-5.34192927122238e-12,-1.8917337539420422
1st2KB_B64-T51,-5.75,2.28889585236758e-12,-5.575448916521826e-12,-1.9665651576314985e-24,-1.3929225808381972e-23,-5.57544891650593e-12,-2.826748264418867
1st2KB_B64-T51,-6.0,1.9781023607307e-12,-5.810480977639658e-12,-2.1761108591237573e-24,-1.341203442581233e-23,-5.81048097762407e-12,-3.580260947708012
1st2KB_B64-T51,-6.25,2.36019060198545e-12,-6.044666358881762e-12,-2.222589177261909e-24,-1.1325187100510167e-23,-6.044666358868214e-12,-4.435381892864625
1st2KB_B64-T51,-6.5,3.05637307997098e-12,-6.279612557278273e-12,-2.4385002040374614e-24,-1.0755676091201544e-23,-6.279612557265079e-12,-5.199198779827562
1st2KB_B64-T51,-6.75,3.67990273669738e-12,-6.5128973168903874e-12,-2.288100795264262e-24,-7.903349773874438e-24,-6.5128973168801955e-12,-6.162401422844406
1st2KB_B64-T51,-7.0,4.41931083741687e-12,-6.7469221612283424e-12,-2.30181992631333e-24,-6.51108609928327e-24,-6.746922161219529e-12,-7.036788062585349
1st2KB_B64-T51,-7.25,8.95244035153953e-12,-6.980089855270288e-12,-2.135804893499996e-24,-4.698539758109021e-24,-6.980089855263454e-12,-8.014039497334318
1st2KB_B64-T51,-7.5,1.09580833990153e-11,-7.214856772365417e-12,-2.3043913370393832e-24,-4.342468769310695e-24,-7.21485677235877e-12,-8.799371554309936
1st2KB_B64-T51,-7.75,9.60346385747712e-12,-7.451237824953833e-12,-2.8913023263224672e-24,-5.143196317496659e-24,-7.451237824945799e-12,-9.390994623074372
1st2KB_B64-T51,-8.0,1.34826455555626e-11,-7.683459784976495e-12,-2.4566587449412647e-24,-3.212220732713041e-24,-7.683459784970826e-12,-10.481741598227291
1st2KB_B64-T51,-8.25,1.91266273652513e-11,-7.918954669836463e-12,-2.8362282003433264e-24,-3.319464274436967e-24,-7.918954669830307e-12,-11.179711782689346
1st2KB_B64-T51,-8.5,3.62615978910519e-11,-8.151091381425067e-12,-2.3903375539145105e-24,-2.0465193018061985e-24,-8.15109138142063e-12,-12.280689242283575
1st2KB_B64-T51,-8.75,8.20692888647834e-11,-8.387373844160962e-12,-2.9707557006829714e-24,-2.3874736012475643e-24,-8.387373844155604e-12,-12.884143870781672
1st2KB_B64-T51,-9.0,1.37386643728199e-10,-8.621115971862214e-12,-2.9105996255985896e-24,-1.8851619101415922e-24,-8.621115971857417e-12,-13.792458736552101
1st2KB_B64-T51,-9.25,2.77503853229888e-10,-8.853987025670996e-12,-2.6284363554360355e-24,-1.3023783984322854e-24,-8.853987025667067e-12,-14.80530933874321
1st2KB_B64-T51,-9.5,6.29410579211509e-10,-9.090216327952126e-12,-3.2480341484298434e-24,-1.5061097888755875e-24,-9.090216327947373e-12,-15.415143641030037
1st2KB_B64-T51,-9.25,5.32822119758691e-10,-8.848905407100774e-12,-1.6255130542420394e-24,-5.929994376439391e-25,-8.848905407098556e-12,-15.415143641030037
1st2KB_B64-T51,-9.0,4.35702390833015e-10,-8.607594486250773e-12,-7.98127432184604e-25,-2.2795755609405497e-25,-8.607594486249745e-12,-15.415143641030037
1st2KB_B64-T51,-8.75,2.98526925401887e-10,-8.3662835654014e-12,-3.838490681967556e-25,-8.539074504549942e-26,-8.366283565400931e-12,-15.415143641030037
1st2KB_B64-T51,-8.5,2.49925496964565e-10,-8.12497264455233e-12,-1.804865831672475e-25,-3.109987968099399e-26,-8.124972644552119e-12,-15.415143641030037
1st2KB_B64-T51,-8.25,1.89208260170659e-10,-7.8836617237034e-12,-8.27917989545078e-26,-1.0984616495075553e-26,-7.883661723703306e-12,-15.415143641030037
1st2KB_B64-T51,-8.0,1.30652433316669e-10,-7.642350802854538e-12,-3.695656301411298e-26,-3.751426839453896e-27,-7.642350802854497e-12,-15.415143641030037
1st2KB_B64-T51,-7.75,9.89884771374072e-11,-7.401039882005703e-12,-1.6005310495988616e-26,-1.2344594656372567e-27,-7.401039882005687e-12,-15.415143641030037
1st2KB_B64-T51,-7.5,7.3611679252128e-11,-7.159728961156879e-12,-6.701323152955137e-27,-3.8978698603132778e-28,-7.159728961156872e-12,-15.415143641030037
1st2KB_B64-T51,-7.25,5.35862534900566e-11,-6.918418040308064e-12,-2.700925745888465e-27,-1.1751356124869164e-28,-6.918418040308061e-12,-15.415143641030037
1st2KB_B64-T51,-7.0,4.15831188926852e-11,-6.677107119459248e-12,-1.0423776372845055e-27,-3.3622250964306117e-29,-6.677107119459247e-12,-15.415143641030037
1st2KB_B64-T51,-6.75,2.67706221773745e-11,-6.4357961986104375e-12,-3.826719035141429e-28,-9.061107757619213e-30,-6.4357961986104375e-12,-15.415143641030037
1st2KB_B64-T51,-6.5,1.89723532023622e-11,-6.194485277761622e-12,-1.3250943378930513e-28,-2.278371436507277e-30,-6.194485277761622e-12,-15.415143641030037
1st2KB_B64-T51,-6.25,1.26037678557789e-11,-5.95317435691281e-12,-4.2802529300524856e-29,-5.279654711683546e-31,-5.95317435691281e-12,-15.415143641030037
1st2KB_B64-T51,-6.0,9.42270046710991e-12,-5.711863436064e-12,-1.270472883451445e-29,-1.1091018635897031e-31,-5.711863436064e-12,-15.415143641030037
1st2KB_B64-T51,-5.75,6.47078918225574e-12,-5.470552515215188e-12,-3.392416400824363e-30,-2.0643479053792373e-32,-5.470552515215188e-12,-15.415143641030037
1st2KB_B64-T51,-5.5,4.76890315431744e-12,-5.229241594366375e-12,-7.894631552604542e-31,-3.292350210801527e-33,-5.229241594366375e-12,-15.415143641030037
1st2KB_B64-T51,-5.25,3.31491865207534e-12,-4.9879306735175644e-12,-1.5214793856743687e-31,-4.2691495770925e-34,-4.9879306735175644e-12,-15.415143641030037
1st2KB_B64-T51,-5.0,2.35540731884087e-12,-4.746619752668752e-12,-2.2149761817571665e-32,-4.10783620565968e-35,-4.746619752668752e-12,-15.415143641030037
1st2KB_B64-T51,-4.75,1.44523986961992e-12,-4.505308831819937e-12,-1.99433740313836e-33,-2.4287135836061272e-36,-4.505308831819937e-12,-15.415143641030037
1st2KB_B64-T51,-4.5,9.43292536095819e-13,-4.263997910971128e-12,-5.802912766716874e-35,-5.05440329938426e-38,-4.263997910971128e-12,-15.415143641030037
1st2KB_B64-T51,-4.25,5.99687075171496e-13,-4.022686990122314e-12,3.3218373026924225e-36,-3.2569590866546466e-39,-4.022686990122314e-12,-15.415143641030037
1st2KB_B64-T51,-4.0,3.90380165259802e-13,-3.781376069273504e-12,5.080693692379411e-34,-5.182950715887965e-37,-3.781376069273504e-12,-15.415143641030037
1st2KB_B64-T51,-3.75,1.37269563120837e-13,-3.5400651484246914e-12,8.115444136247285e-33,-1.2443992651201152e-35,-3.5400651484246914e-12,-15.415143641030037
1st2KB_B64-T51,-3.5,9.5923309985195e-14,-3.2987542275758795e-12,6.67136823420924e-32,-1.5567455627794273e-34,-3.2987542275758795e-12,-15.415143641030037
1st2KB_B64-T51,-3.25,2.54115372949788e-14,-3.057443306727067e-12,3.8677834750878927e-31,-1.3526837346230006e-33,-3.057443306727067e-12,-15.415143641030037
1st2KB_B64-T51,-3.0,-3.11265742998154e-13,-2.8161323858782524e-12,1.7947745534842408e-30,-9.2339756966193e-33,-2.8161323858782524e-12,-15.415143641030037
1st2KB_B64-T51,-2.75,-4.56009775567316e-14,-2.574821465029443e-12,7.116426609046016e-30,-5.291693348075342e-32,-2.574821465029443e-12,-15.415143641030037
1st2KB_B64-T51,-2.5,7.33966720408742e-14,-2.333510544180629e-12,2.506630353100275e-29,-2.6511310571059744e-31,-2.333510544180629e-12,-15.415143641030037
1st2KB_B64-T51,-2.25,4.88035921896411e-14,-2.092199623331819e-12,8.043709992181395e-29,-1.192905912777088e-30,-2.092199623331819e-12,-15.415143641030037
1st2KB_B64-T51,-2.0,-1.0155241312584e-13,-1.850888702483007e-12,2.3930094101894906e-28,-4.913253897724963e-30,-1.850888702483007e-12,-15.415143641030037
1st2KB_B64-T51,-1.75,-2.23017066511115e-13,-1.6095777816341943e-12,6.68424993941527e-28,-1.8784181458034527e-29,-1.609577781634195e-12,-15.415143641030037
1st2KB_B64-T51,-1.5,3.04683510951413e-14,-1.3682668607853808e-12,1.7697592350658285e-27,-6.737496546225669e-29,-1.3682668607853826e-12,-15.415143641030037
1st2KB_B64-T51,-1.25,-6.970530245674e-14,-1.1269559399365669e-12,4.474312684684641e-27,-2.2861493360257564e-28,-1.1269559399365711e-12,-15.415143641030037
1st2KB_B64-T51,-1.0,-1.78400209101953e-13,-8.856450190877484e-13,1.0864796125732859e-26,-7.387590486054242e-28,-8.856450190877586e-13,-15.415143641030037
1st2KB_B64-T51,-0.75,-3.78850108836287e-13,-6.443340982389214e-13,2.545923581959732e-26,-2.28585963188025e-27,-6.443340982389446e-13,-15.415143641030037
1st2KB_B64-T51,-0.5,4.73721200613085e-14,-4.03023177390084e-13,5.779326898409493e-26,-6.802909352600898e-27,-4.03023177390135e-13,-15.415143641030037
1st2KB_B64-T51,-0.25,-2.24641201365498e-13,-1.6171225654121454e-13,1.2750173682576514e-25,-1.9546699402228532e-26,-1.617122565413225e-13,-15.415143641030037
1st2KB_B64-T51,0.0,-2.45360996060581e-13,5.77632033859584e-12,2.7412033840178057e-25,5.696721674288076e-12,7.959866430748926e-14,-15.415143641030037
1st2KB_B64-T51,0.25,-2.74119594211031e-13,3.333974323024531e-12,5.7564905895335395e-25,3.0130647378676543e-12,3.20909585156301e-13,-15.415143641030037
1st2KB_B64-T51,0.5,-3.02237916768519e-13,1.7309029750721415e-12,1.051507280448522e-24,1.1699000039964144e-12,5.610029710746754e-13,-15.269029847796281
1st2KB_B64-T51,0.75,-2.93946724599925e-13,9.936189709066103e-13,1.3882147434520322e-24,1.9577770946428476e-13,7.978412614409374e-13,-14.732278918355007
