index,segment_index,voltage_v,polarization_uc_cm2,polarization_change_uc_cm2,screening_charge_uc_cm2,fe_field_mv_cm,il_field_mv_cm,residual_mv_cm,converged,used_fallback,j_total_uA_per_um2,j_thermionic_uA_per_um2,j_tunneling_uA_per_um2,j_pf_uA_per_um2,j_tat_uA_per_um2,j_sclc_uA_per_um2,top_barrier_ev,bottom_barrier_ev,tunneling_transmission,trap_tunneling_transmission
10,0,-17.5,-21.010511366717758,0.0,-25.45097472904514,-3.1344372404881895,-30.9081307877872,-0.44304387497474945,1,0,-6.052979926181632e-14,-2.0593154066336426e-48,-8.806915030198335e-47,-6.052979926181632e-14,-4.753287813515358e-40,0.0,3.1382155492617847,3.1620439324428498,2.538080864947153e-56,2.2993638732579213e-43
11,0,-17.25,-21.010511366717758,0.0,-25.37544278752197,-3.0811207032175107,-30.816403411837648,-0.45970529287183215,1,0,-5.628833110800936e-14,-1.9790888564980393e-48,-8.74696099625686e-48,-5.628833110800936e-14,-7.94194161731167e-41,0.0,3.139242831092033,3.163478519079924,2.5208026028313635e-57,3.892039562098876e-44
12,0,-17.0,-21.010511366717758,0.0,-25.299910845998788,-3.0278041659468298,-30.724676035888088,-0.4763667107689266,1,0,-5.230317024611062e-14,-1.9018751977130266e-48,-8.015481915016244e-49,-5.230317024611062e-14,-1.2439752976399133e-41,0.0,3.140271642954761,3.1649255725850653,2.3099963156309157e-58,6.176940319775888e-45
13,0,-16.75,-21.010511366717758,0.0,-25.224378904475614,-2.9744876286761515,-30.63294865993853,-0.4930281286660082,1,0,-4.8561039901205476e-14,-1.827565359450453e-48,-6.727381424915261e-50,-4.8561039901205476e-14,-1.8263429159722106e-42,0.0,3.141301991706887,3.1663854237394427,1.9387762919513265e-59,9.190331366463662e-46
14,0,-16.5,-21.010511366717758,0.0,-25.148846962952447,-2.9211710914054727,-30.541221283988982,-0.509689546563091,1,0,-4.5049252310975706e-14,-1.756054077230447e-48,-5.1622775608286156e-51,-4.5049252310975706e-14,-2.4999718223578762e-43,0.0,3.142333884256701,3.1678584182158227,1.487726161971396e-60,1.2751148899559018e-46
15,0,-16.25,-21.010511366717758,0.0,-25.073315021429266,-2.8678545541347917,-30.449493908039422,-0.5263509644601848,1,0,-4.1755686250657205e-14,-1.687239764858719e-48,-3.604755082697228e-52,-4.1755686250657205e-14,-3.1781602120572097e-44,0.0,3.143367327564402,3.1693449175344015,1.038860925402704e-61,1.6433711079749427e-47
16,0,-16.0,-21.010511366717758,0.0,-24.997783079906092,-2.8145380168641134,-30.357766532089865,-0.543012382357268,1,0,-3.866876530133883e-14,-1.6210243905181207e-48,-2.269663451663487e-53,-3.866876530133883e-14,-3.7370629081886925e-45,0.0,3.1444023286426455,3.170845300098987,6.540984393268606e-63,1.9593790344556e-48
17,0,-15.75,-21.010511366717758,0.0,-24.92225113838292,-2.7612214795934347,-30.266039156140312,-0.5596738002543608,1,0,-3.5777436840091894e-14,-1.5573133568847768e-48,-1.2867220094283546e-54,-3.5777436840091894e-14,-4.034695567619442e-46,0.0,3.145438894557102,3.1723599623219574,3.708227568266784e-64,2.1454176998136084e-49
18,0,-15.5,-21.010511366717758,0.0,-24.84671919685975,-2.707904942322757,-30.174311780190756,-0.576335218151443,1,0,-3.3071151730963714e-14,-1.4960153851427932e-48,-6.500745974487301e-56,-3.3071151730963714e-14,-4.0103660261611956e-47,0.0,3.1464770324270166,3.1738893198474623,1.8734618091752926e-65,2.1631439255014814e-50
19,0,-15.25,-21.010511366717758,0.0,-24.77118725533657,-2.6545884050520754,-30.082584404241196,-0.5929966360485368,1,0,-3.053984469641363e-14,-1.4370424027748465e-48,-2.9159455902646516e-57,-3.053984469641363e-14,-3.6169409611718406e-48,0.0,3.14751674942578,3.1754338088835685,8.403516646295009e-67,1.9793971633970102e-51
20,0,-15.0,-21.010511366717758,0.0,-24.695655313813397,-2.6012718677813975,-29.990857028291646,-0.6096580539456196,1,0,-2.8173915349287228e-14,-1.3803094350107544e-48,-1.1557368108832916e-58,-2.8173915349287228e-14,-2.9674144065019553e-49,0.0,3.1485580527815085,3.176993887655445,3.3307389415699495e-68,1.647981332956161e-52
21,0,-14.75,-21.010511366717758,0.0,-24.620123372290227,-2.547955330510719,-29.89912965234209,-0.6263194718427012,1,0,-2.5964209865941088e-14,-1.3257344998184249e-48,-3.9737334674040474e-60,-2.5964209865941088e-14,-2.1899334714325656e-50,0.0,3.149600949777629,3.1785700379933095,1.145197477372639e-69,1.234476349011604e-53
22,0,-14.5,-21.010511366717758,0.0,-24.54459143076705,-2.4946387932400373,-29.807402276392533,-0.6429808897397962,1,0,-2.3902003281637824e-14,-1.2732385063262949e-48,-1.187863734366065e-61,-2.3902003281637824e-14,-1.4427981277012517e-51,0.0,3.1506454477534724,3.1801627670707275,3.4233261068391168e-71,8.25720890234592e-55
23,0,-14.25,-21.010511366717758,0.0,-24.469059489243875,-2.441322255969359,-29.715674900442977,-0.6596423076368797,1,0,-2.197898238981125e-14,-1.2227451565687398e-48,-3.0387864117341974e-63,-2.197898238981125e-14,-8.460448742739173e-53,0.0,3.151691554104878,3.181772609311051,8.757533844527502e-73,4.916975577084405e-56
24,0,-14.0,-21.010511366717758,0.0,-24.3935275477207,-2.388005718698681,-29.62394752449342,-0.6763037255339704,1,0,-2.0187229227285005e-14,-1.174180850449613e-48,-6.616521595392048e-65,-2.0187229227285005e-14,-4.3817928368784113e-54,0.0,3.1527392762848043,3.1834001284822953,1.906827395994074e-74,2.586650201146319e-57
25,0,-13.75,-21.010511366717758,0.0,-24.317995606197524,-2.3346891814279993,-29.532220148543864,-0.6929651434310661,1,0,-1.851920512799928e-14,-1.127474593822881e-48,-1.2046187347462557e-66,-1.851920512799928e-14,-1.9799140031714937e-55,0.0,3.1537886218039466,3.185045920003745,3.471612647258012e-76,1.1874653950948699e-58
26,0,-13.5,-21.010511366717758,0.0,-24.24246366467435,-2.281372644157321,-29.44049277259431,-0.7096265613281378,1,0,-1.6967735328251277e-14,-1.0825579095910171e-48,-1.8265122009628638e-68,-1.6967735328251277e-14,-7.718823042972322e-57,0.0,3.154839598231367,3.1867106134910403,5.26385874163697e-78,4.704630579959363e-60
27,0,-13.25,-21.010511366717758,0.0,-24.166931723151176,-2.228056106886643,-29.348765396644758,-0.7262879792252309,1,0,-1.5525994106902634e-14,-1.0393647517262336e-48,-2.256615952061925e-70,-1.5525994106902634e-14,-2.5839879077448476e-58,0.0,3.155892213195132,3.188394875570595,6.503382566794093e-80,1.600956007073261e-61
28,0,-13.0,-21.010511366717758,0.0,-24.09139978162801,-2.174739569615965,-29.2570380206952,-0.7429493971223122,1,0,-1.4187490444446274e-14,-9.978314221216675e-49,-2.2535981121849188e-72,-1.4187490444446274e-14,-7.314395258398321e-60,0.0,3.156946474382956,3.1900994129990137,6.494685399149078e-82,4.6078710382427455e-63
29,0,-12.75,-21.010511366717758,0.0,-24.01586784010483,-2.121423032345283,-29.16531064474564,-0.7596108150194083,1,0,-1.2946054185247913e-14,-9.578964901829138e-49,-1.7823587405819866e-74,-1.2946054185247913e-14,-1.737735637203417e-61,0.0,3.158002389542858,3.191824976128919,5.13661208088273e-84,1.1134252673837476e-64
