index,segment_index,voltage_v,polarization_uc_cm2,polarization_change_uc_cm2,screening_charge_uc_cm2,fe_field_mv_cm,il_field_mv_cm,residual_mv_cm,converged,used_fallback,j_total_uA_per_um2,j_thermionic_uA_per_um2,j_tunneling_uA_per_um2,j_pf_uA_per_um2,j_tat_uA_per_um2,j_sclc_uA_per_um2,top_barrier_ev,bottom_barrier_ev,tunneling_transmission,trap_tunneling_transmission
0,0,-20.0,-113.02319117300496,-113.52259964386909,-118.87218197524538,-4.128689529420237,0.0,-0.009291409850975301,1,0,-2.0813621936317623e-13,-2.1386978370145534e-48,-1.3166223073351679e-63,-2.0813621936317623e-13,-1.2344372498776917e-57,0.0,3.137237734706303,3.137237734706303,3.79439778077966e-73,4.813850566685546e-61
1,0,-19.75,-113.02319117300496,0.0,-118.79377313900228,-4.073342247785445,0.0,3.8608244387953765,1,0,-1.9530248956250817e-13,-2.0340933133244036e-48,-1.3390168646688589e-64,-1.9530248956250817e-13,-1.8218900926336835e-58,0.0,3.1385341345032742,3.1385341345032742,3.858937062983138e-74,7.182208507336376e-62
2,0,-19.5,-113.02319117300496,0.0,-118.71536430275918,-4.017994966150653,0.0,3.8331507979779817,1,0,-1.831636285280888e-13,-1.933943778302954e-48,-1.2805337018413542e-65,-1.831636285280888e-13,-2.5451147184612937e-59,0.0,3.1398393721622084,3.1398393721622084,3.690393372048112e-75,1.0143950863361161e-62
3,0,-19.25,-113.02319117300496,0.0,-118.6369554665161,-3.962647684515861,0.0,3.805477157160585,1,0,-1.7168673268864233e-13,-1.838083637056746e-48,-1.1463498764651527e-66,-1.7168673268864233e-13,-3.359260962311713e-60,0.0,3.141153630935313,3.141153630935313,3.3036865644940966e-76,1.353818032576871e-63
4,0,-19.0,-113.02319117300496,0.0,-118.55854663027297,-3.9073004028810545,0.0,3.777803516343181,1,0,-1.6084026002541233e-13,-1.7463526953295143e-48,-9.600133796647463e-68,-1.6084026002541233e-13,-4.191567499775147e-61,0.0,3.142477100496583,3.142477100496583,2.766680024350667e-77,1.7082987205406445e-64
5,0,-18.75,-113.02319117300496,0.0,-118.48013779402989,-3.8519531212462765,0.0,3.7501298755257935,1,0,-1.5059398071216452e-13,-1.658596003865034e-48,-7.465382488868105e-69,-1.5059398071216452e-13,-4.938643729032513e-62,0.0,3.143809977261343,3.143809977261343,2.1514621612150354e-78,2.0357343138401834e-65
6,0,-18.5,-113.02319117300496,0.0,-118.40172895778677,-3.7966058396114706,0.0,3.722456234708389,1,0,-1.4091892933086377e-13,-1.574663706763598e-48,-5.402047917542404e-70,-1.4091892933086377e-13,-5.473339080767361e-63,0.0,3.1451524647265368,3.1451524647265368,1.5568260172862388e-79,2.2821717121583239e-66
7,0,-18.25,-113.02319117300496,0.0,-118.32332012154367,-3.741258557976679,0.0,3.6947825938909946,1,0,-1.3178735861854964e-13,-1.4944108937412716e-48,-3.609809315306991e-71,-1.3178735861854964e-13,-5.676099851724907e-64,0.0,3.1465047738334126,3.1465047738334126,1.040317513893662e-80,2.3943430978576164e-67
8,0,-18.0,-113.02319117300496,0.0,-118.24491128530057,-3.6859112763418866,0.0,3.6671089530735985,1,0,-1.2317269470181156e-13,-1.4176974562004376e-48,-2.2266138451442934e-72,-1.2317269470181156e-13,-5.474502897708049e-65,0.0,3.147867123354459,3.147867123354459,6.416918949040733e-82,2.3365798346834196e-68
9,0,-17.75,-113.02319117300496,0.0,-118.16650244905746,-3.6305639947070807,0.0,3.6305639947070807,1,0,-1.1504949377660977e-13,-1.3443879470246786e-48,-1.2605067088412286e-73,-1.1504949377660977e-13,-4.950690641855512e-66,0.0,3.14923974030658,3.14923974030658,3.632677216570563e-83,2.138266806166311e-69
10,0,-17.5,-113.02319117300496,0.0,-118.08809361281438,-3.5752167130723027,0.0,3.5752167130723027,1,0,-1.0739340019210653e-13,-1.2743514440108693e-48,-6.533497737249625e-75,-1.0739340019210653e-13,-4.140149526042507e-67,0.0,3.1506228603927315,3.1506228603927315,1.8829005992709514e-84,1.809815703030319e-70
